#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.064013399121e-01      -9.570122574574e-02      -1.074470842393e+02      -1.683235259810e+02      -9.554365904178e-02      -1.544132588362e+02       7.439354687244e-02       7.439354687244e-02 
       1.100735042425e-01      -9.222747889036e-02      -1.124682547963e+02      -1.730639019780e+02      -9.207524697062e-02      -1.590608841409e+02       7.160471257865e-02       7.160471257865e-02 
       1.138473938417e-01      -8.923634374850e-02      -1.193848611817e+02      -1.782309292044e+02      -8.908851065779e-02      -1.643432806603e+02       6.915896308743e-02       6.915896308743e-02 
       1.177294216180e-01      -8.659201942694e-02      -1.278257622188e+02      -1.837950759375e+02      -8.644796049518e-02      -1.701805301859e+02       6.697018663715e-02       6.697018663715e-02 
       1.217258941606e-01      -8.412802772298e-02      -1.371092925918e+02      -1.896580460244e+02      -8.398748854988e-02      -1.763896536803e+02       6.493036851728e-02       6.493036851728e-02 
       1.258430457492e-01      -8.166942743290e-02      -1.463048892987e+02      -1.956575762817e+02      -8.153253225238e-02      -1.826977940797e+02       6.292377389984e-02       6.292377389984e-02 
       1.300870639234e-01      -7.905973394238e-02      -1.543626413568e+02      -2.015871161959e+02      -7.892693450259e-02      -1.887778116162e+02       6.084459227514e-02       6.084459227514e-02 
       1.344641087430e-01      -7.618903722639e-02      -1.603071717099e+02      -2.072321203046e+02      -7.606100160630e-02      -1.943071748421e+02       5.861582424709e-02       5.861582424709e-02 
       1.389803274205e-01      -7.301718797039e-02      -1.634681750972e+02      -2.124180460332e+02      -7.289464234526e-02      -1.990419653822e+02       5.620519648203e-02       5.620519648203e-02 
       1.436418657176e-01      -6.958550254571e-02      -1.636998247947e+02      -2.170600588094e+02      -6.946905225863e-02      -2.028906160668e+02       5.363375057997e-02       5.363375057997e-02 
       1.484548772963e-01      -6.601227898737e-02      -1.615239678042e+02      -2.212023728100e+02      -6.590224513172e-02      -2.059677055044e+02       5.097395608694e-02       5.097395608694e-02 
       1.534255320955e-01      -6.247012152179e-02      -1.581330160339e+02      -2.250317490730e+02      -6.236643202245e-02      -2.086054814030e+02       4.833575066290e-02       4.833575066290e-02 
       1.585600247177e-01      -5.914929804756e-02      -1.552067051254e+02      -2.288607054359e+02      -5.905146376492e-02      -2.113125884916e+02       4.584329463150e-02       4.584329463150e-02 
       1.638645837646e-01      -5.620782383048e-02      -1.545270195526e+02      -2.330564113047e+02      -5.611502020375e-02      -2.146579054535e+02       4.360279231633e-02       4.360279231633e-02 
       1.693454830262e-01      -5.372985373687e-02      -1.574625975488e+02      -2.379411980603e+02      -5.364109716578e-02      -2.191114900511e+02       4.167304081845e-02       4.167304081845e-02 
       1.750090554098e-01      -5.169422365408e-02      -1.644554916753e+02      -2.436796015261e+02      -5.160860179658e-02      -2.248748120517e+02       4.004576898447e-02       4.004576898447e-02 
       1.808617104803e-01      -4.997820462341e-02      -1.747049462260e+02      -2.501918350689e+02      -4.989509815643e-02      -2.317622447923e+02       3.864433686501e-02       3.864433686501e-02 
       1.869099564759e-01      -4.839558466711e-02      -1.862707715408e+02      -2.571696777776e+02      -4.831479418974e-02      -2.392296207410e+02       3.734961463445e-02       3.734961463445e-02 
       1.931604276588e-01      -4.674534822758e-02      -1.965311842450e+02      -2.641001333104e+02      -4.666710940463e-02      -2.464623218837e+02       3.602881280886e-02       3.602881280886e-02 
       1.996199178614e-01      -4.487638049941e-02      -2.030649213093e+02      -2.704034207893e+02      -4.480123628810e-02      -2.526209262202e+02       3.457777896862e-02       3.457777896862e-02 
       2.062954211054e-01      -4.276310514174e-02      -2.048053905615e+02      -2.757685101650e+02      -4.269162770420e-02      -2.572899530236e+02       3.297456185623e-02       3.297456185623e-02 
       2.131941802010e-01      -4.051204392118e-02      -2.026863354270e+02      -2.803232815764e+02      -4.044454932339e-02      -2.607144841871e+02       3.128598037130e-02       3.128598037130e-02 
       2.203237442935e-01      -3.830754444932e-02      -1.994042079325e+02      -2.845700581487e+02      -3.824393609784e-02      -2.637115639173e+02       2.963069136331e-02       2.963069136331e-02 
       2.276920364212e-01      -3.632177266274e-02      -1.983014998729e+02      -2.891394512172e+02      -3.626157643206e-02      -2.673005108973e+02       2.812154688207e-02       2.812154688207e-02 
       2.353074322996e-01      -3.465039360520e-02      -2.018508623545e+02      -2.945808520201e+02      -3.459294413853e-02      -2.723034818439e+02       2.682358594415e-02       2.682358594415e-02 
       2.431788517621e-01      -3.326966810809e-02      -2.102924863423e+02      -3.011044002135e+02      -3.321437612071e-02      -2.789291480560e+02       2.572628184631e-02       2.572628184631e-02 
       2.513158645973e-01      -3.203988324658e-02      -2.211788721863e+02      -3.083257901767e+02      -3.198647944783e-02      -2.864947620381e+02       2.474066728923e-02       2.474066728923e-02 
       2.597288129417e-01      -3.078508429694e-02      -2.305716044149e+02      -3.154410713774e+02      -3.073368113329e-02      -2.937492295288e+02       2.375039558841e-02       2.375039558841e-02 
       2.684289529582e-01      -2.940083946792e-02      -2.354445116563e+02      -3.217611559473e+02      -2.935176095015e-02      -2.996726179264e+02       2.268415524882e-02       2.268415524882e-02 
       2.774286192840e-01      -2.790503891382e-02      -2.356606890277e+02      -3.270994767475e+02      -2.785854814085e-02      -3.040911107154e+02       2.154941055305e-02       2.154941055305e-02 
       2.867414167386e-01      -2.642085180671e-02      -2.342971951010e+02      -3.319727028353e+02      -2.637693050627e-02      -3.078906068921e+02       2.042441902441e-02       2.042441902441e-02 
       2.963824451055e-01      -2.508950325508e-02      -2.356306160892e+02      -3.373399688051e+02      -2.504783014339e-02      -3.125004100373e+02       1.940348230796e-02       1.940348230796e-02 
       3.063685645582e-01      -2.395431754896e-02      -2.417239077540e+02      -3.437284067296e+02      -2.391449003990e-02      -3.186629554130e+02       1.851727642350e-02       1.851727642350e-02 
       3.167187116412e-01      -2.294128664397e-02      -2.507450474870e+02      -3.508615306891e+02      -2.290307507445e-02      -3.258763720215e+02       1.771900177154e-02       1.771900177154e-02 
       3.274542788560e-01      -2.193229433135e-02      -2.585296637821e+02      -3.579374412431e+02      -2.189572768891e-02      -3.328573718279e+02       1.693131039265e-02       1.693131039265e-02 
       3.385995751601e-01      -2.086064813621e-02      -2.622410506584e+02      -3.642370123239e+02      -2.082588794296e-02      -3.385897521557e+02       1.610774167563e-02       1.610774167563e-02 
       3.501823905321e-01      -1.977119190462e-02      -2.632558376384e+02      -3.699668635763e+02      -1.973829058196e-02      -3.434496957454e+02       1.527594688020e-02       1.527594688020e-02 
       3.622346958773e-01      -1.875317791290e-02      -2.655888989677e+02      -3.759109829471e+02      -1.872199024791e-02      -3.486833570596e+02       1.449388051976e-02       1.449388051976e-02 
       3.747935210137e-01      -1.784727757862e-02      -2.715788809642e+02      -3.826867933137e+02      -1.781757797979e-02      -3.551486948844e+02       1.378985039562e-02       1.378985039562e-02 
       3.879020698993e-01      -1.700101018384e-02      -2.791097356892e+02      -3.899257154043e+02      -1.697269315464e-02      -3.622255844704e+02       1.313010929778e-02       1.313010929778e-02 
       4.016111562124e-01      -1.614751200125e-02      -2.845503281700e+02      -3.968995456806e+02      -1.612061540181e-02      -3.687712453262e+02       1.247035656091e-02       1.247035656091e-02 
       4.159810779533e-01      -1.528514421495e-02      -2.875914074269e+02      -4.034634896406e+02      -1.525970105661e-02      -3.746203398220e+02       1.180803178450e-02       1.180803178450e-02 
       4.310841036250e-01      -1.446399680636e-02      -2.914358598604e+02      -4.102324968879e+02      -1.443992730987e-02      -3.807583821198e+02       1.117528791459e-02       1.117528791459e-02 
       4.470078260332e-01      -1.370067151463e-02      -2.976570411638e+02      -4.175725428905e+02      -1.367786288836e-02      -3.877219833715e+02       1.058335557035e-02       1.058335557035e-02 
       4.638597722788e-01      -1.296254571410e-02      -3.040133917959e+02      -4.252195662559e+02      -1.294096000029e-02      -3.949580747058e+02       1.001176726157e-02       1.001176726157e-02 
       4.817738746916e-01      -1.222324901156e-02      -3.086542212311e+02      -4.327077998335e+02      -1.220290020086e-02      -4.018064683477e+02       9.441990549897e-03       9.441990549897e-03 
       5.009197708718e-01      -1.150446853935e-02      -3.136317135448e+02      -4.403817722445e+02      -1.148531896051e-02      -4.088579514679e+02       8.887286722528e-03       8.887286722528e-03 
       5.215165330264e-01      -1.081792963304e-02      -3.202184484502e+02      -4.486965611599e+02      -1.079991857442e-02      -4.166772446586e+02       8.355966151700e-03       8.355966151700e-03 
       5.438535687785e-01      -1.013690122759e-02      -3.262883478097e+02      -4.572467698214e+02      -1.012002472933e-02      -4.246124696195e+02       7.830000547602e-03       7.830000547602e-03 
       5.683235904662e-01      -9.462509894159e-03      -3.323407791203e+02      -4.661693484361e+02      -9.446757575172e-03      -4.328510256224e+02       7.309371963224e-03       7.309371963224e-03 
       5.954768212316e-01      -8.799305766846e-03      -3.395421271323e+02      -4.758335045971e+02      -8.784656045884e-03      -4.418711564308e+02       6.796712118337e-03       6.796712118337e-03 
       6.261145601726e-01      -8.131525946073e-03      -3.467575459879e+02      -4.861707156850e+02      -8.117988771200e-03      -4.514463986034e+02       6.281039110541e-03       6.281039110541e-03 
